name;category;B/AA
Myriophyllum alterniflorum;Boreal;B
Myriophyllum sibiricum;Boreal;B
Myriophyllum verticillatum;Boreal;B
Nardus stricta;Boreal;B
Narthecium ossifragum;Boreal;B
Neottia cordata;Boreal;B
Neottia ovata;Boreal;B
Noccaea caerulescens;Boreal;B
Nuphar lutea;Boreal;B
Nuphar pumila;Boreal;B
Nymphaea alba;Boreal;B
Omalotheca norvegica;Arc-alp;AA
Omalotheca supina;Arc-alp;AA
Oreopteris limbosperma;Alp;AA
Orthilia secunda;Boreal;B
Oxalis acetosella;Boreal;B
Oxyria digyna;Arc-alp;AA
Oxytropis campestris;Boreal;B
Oxytropis lapponica;Arc-alp;AA
Papaver radicatum;Arc;AA
Paris quadrifolia;Boreal;B
Parnassia palustris;Boreal;B
Pedicularis flammea;Arc;AA
Pedicularis hirsuta;Arc;AA
Pedicularis lapponica;Arc;AA
Pedicularis oederi;Arc-alp;AA
Pedicularis palustris;Boreal;B
Pedicularis sceptrum-carolinum;Boreal;B
Persicaria amphibia;Boreal;B
Persicaria lapathifolia;Boreal;B
Petasites frigidus;Boreal;B
Phalaris arundinacea;Boreal;B
Phegopteris connectilis;Boreal;B
Phippsia algida;Arc;AA
Phippsia concinna;Arc;AA
Phleum alpinum;Arc-alp;AA
Phleum pratense;Boreal;B
Phragmites australis;Boreal;B
Phyllodoce caerulea;Arc;AA
Picea abies;Boreal;B
Pilosella aurantiaca;Boreal;B
Pilosella cymosa;Boreal;B
Pilosella floribunda;Boreal;B
Pilosella lactucella;Boreal;B
Pilosella officinarum;Boreal;B
Pilosella peleteriana;Boreal;B
Pimpinella saxifraga;Boreal;B
Pinguicula alpina;Arc-alp;AA
Pinguicula villosa;Boreal;B
Pinguicula vulgaris;Boreal;B
Pinus sylvestris;Boreal;B
Plantago lanceolata;Boreal;B
Plantago major;Boreal;B
Plantago media;Boreal;B
Platanthera bifolia;Boreal;B
Poa alpigena;Boreal;B
Poa alpina;Arc-alp;AA
Poa angustifolia;Boreal;B
Poa annua;Boreal;B
Poa arctica;Arc;AA
Poa compressa;Boreal;B
Poa flexuosa;Arc-alp;AA
Poa glauca;Arc-alp;AA
Poa humilis;Boreal;B
Poa nemoralis;Boreal;B
Poa palustris;Boreal;B
Poa pratensis;Boreal;B
Poa remota;Boreal;B
Poa supina;Boreal;B
Poa trivialis;Boreal;B
Polemonium acutiflorum;Arc;AA
Polemonium caeruleum;Boreal;B
Polygala amarella;Boreal;B
Polygonatum odoratum;Boreal;B
Polygonum aviculare;Boreal;B
Polypodium vulgare;Boreal;B
Polystichum aculeatum;Boreal;B
Polystichum braunii;Boreal;B
Polystichum lonchitis;Arc-alp;AA
Populus tremula;Boreal;B
Potamogeton alpinus;Boreal;B
Potamogeton berchtoldii;Boreal;B
Potamogeton compressus;Boreal;B
Potamogeton friesii;Boreal;B
Potamogeton gramineus;Boreal;B
Potamogeton natans;Boreal;B
Potamogeton obtusifolius;Boreal;B
Potamogeton perfoliatus;Boreal;B
Potamogeton praelongus;Boreal;B
Potentilla argentea;Boreal;B
Potentilla chamissonis;Boreal;B
Potentilla crantzii;Arc-alp;AA
Potentilla erecta;Boreal;B
Potentilla hyparctica;Boreal;B
Potentilla multifida;Arc;AA
Potentilla nivea;Arc-alp;AA
Potentilla norvegica;Arc-alp;AA
Primula elatior;Boreal;B
Primula scandinavica;Arc;AA
Primula stricta;Arc;AA
Prunella vulgaris;Boreal;B
Prunus padus;Boreal;B
Pseudorchis albida;Arc;AA
Pteridium aquilinum;Boreal;B
Puccinellia distans;Boreal;B
Pyrola chlorantha;Boreal;B
Pyrola media;Boreal;B
Pyrola minor;Boreal;B
Pyrola rotundifolia;Boreal;B
Quercus petraea;Boreal;B
Quercus robur;Boreal;B
Ranunculus acris;Boreal;B
Ranunculus glacialis;Arc-alp;AA
Ranunculus hyperboreus;Arc-alp;AA
Ranunculus lapponicus;Boreal;B
