X1,comm,n_sp,n_tr,FDpg,FDw,FDwcomm,qual.FD,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.Seed_mass,CWM.Height,CWM.LDMC,CWM.SLA,CWM.Leaf_nitrogen,CWM.Leaf_area,CWM.Leaf_phosphorus
site1433601,6344,30,7,3.917316300018555,3.917316300018555,3.917316300018555,0.6677380643333702,30,30,25.2794231640884,0.6633918675346904,0.8579140795460131,0.7026659230073744,2.420533752702508,6.679246489991224,-1.6862030980967033,-0.3949424316930997,0.39558701571685245,-0.22981723987879535,-0.1696344564391557,-0.5405506324824778,-0.1443001842977272
site1433799,6345,3,7,0.8220642899107067,0.8220642899107067,0.8220642899107067,0.6677380643333702,3,3,2.7830294972199625,0.6633918675346904,0.9777720410286534,0.8649183826445107,1.794293211325199,3.226272738517104,0.08627251883465596,0.3634551495867967,-0.300771152380763,-0.03787731322325427,0.21582732707868996,0.8748024597078345,-0.1663118012390899
site1433991,6346,5,7,1.1234201084622848,1.1234201084622848,1.1234201084622848,0.6677380643333702,5,5,3.3249581310173286,0.6633918675346904,0.8742663537259111,0.6457107127479506,2.270830576028852,5.40204188390088,-0.5047940784578506,0.8078829323066173,-0.1192854192539794,0.6265479976259182,0.1549382933461239,0.49426454414657195,0.14468814755499676
site1434190,6347,48,7,5.259607501982636,5.259607501982636,5.259607501982636,0.6677380643333702,48,48,24.941144674469648,0.6633918675346904,0.859760379164214,0.6964546587608339,2.3107927375738293,6.142687446447937,-1.4141199651796221,-0.4998640378366136,-0.071675095873134545,-0.0042463428943954095,0.08799730758738795,-0.49561708349130146,0.13201269291832438
site1434388,6348,6,7,1.2063689165465319,1.2063689165465319,1.2063689165465319,0.6677380643333702,6,6,5.92181285669424,0.6633918675346904,0.8918161543547817,0.7625088011134852,1.9667916458752377,4.019103477435743,-0.3052870539863947,0.41169295665440847,-0.1804117495331563,0.11764994419518225,0.35300177075592537,0.7564126479696369,-0.09110262875337313
site1434580,6349,4,7,0.9707707841222091,0.9707707841222091,0.9707707841222091,0.6677380643333702,4,4,3.8069855970967694,0.6633918675346904,0.6053067224052503,0.7722422555538538,2.096976099426744,5.2003911823562925,-0.7637603207640196,1.309447751910865,-0.4539891191454155,0.48919824105649534,0.10150889815284612,0.7740635327151004,0.7447831137427006
site1434779,6350,23,7,3.3729871696393823,3.3729871696393823,3.3729871696393823,0.6677380643333702,23,23,24.060948755244503,0.6633918675346904,0.8929446173519976,0.738431148064116,2.460759859614671,6.712783229523706,-1.8863734719441905,-0.5699549207944661,0.2811099423055551,-0.1793886383731269,-0.028559580197568515,-0.6061457024915022,-0.1862723397502352
site1434972,6351,5,7,1.202801692603895,1.202801692603895,1.202801692603895,0.6677380643333702,5,5,2.125827662758179,0.6633918675346904,0.9087512306468898,0.6577598295900515,2.2407050223197884,5.1631728886749935,-1.0075926461157394,0.5305813965024798,-0.35625025433263297,7.842858593377772e-4,-0.5263181625148142,0.048988605815718136,0.23724863804795362
site1435169,6352,8,7,1.583523761850318,1.583523761850318,1.583523761850318,0.6677380643333702,8,8,12.70398696585547,0.6633918675346904,0.8980905010154532,0.7033088188014359,2.73234088306295,8.030388905368433,-0.8503398346887041,0.3546624707050709,0.4676099710243715,0.017288282236655385,-0.0998035599520884,0.044851242325179785,-0.18794904938797677
site1435365,6353,37,7,4.7313344094947745,4.7313344094947745,4.7313344094947745,0.6677380643333702,37,37,30.902698882032794,0.6633918675346904,0.8537972454387881,0.6726954379464335,2.504550037812713,7.577356254725793,-1.4444197691350718,-0.32668718234912175,0.10462476105616485,-0.08930838284757557,-0.05558955715944969,-0.49935102547109284,-0.1471599246702334
site1435563,6354,2,7,0.6236798190449131,0.6236798190449131,0.6236798190449131,0.6677380643333702,2,2,NA,0.6633918675346904,NA,NA,1.6101415900877292,2.592555940130243,-1.2984021436964661,1.0224097315517864,0.6626436081916833,-0.12524864320482518,0.703277191834906,0.5382938250644885,-0.2661106909807014
site1435760,6355,7,7,1.434273781311168,1.434273781311168,1.434273781311168,0.6677380643333702,7,7,12.70398696585547,0.6633918675346904,0.8592727540721048,0.7117630113271581,2.80773751070316,8.516317807774225,-0.6909436887338285,0.40903228448659956,0.40837248392255165,0.13951235709616902,-0.25751134986420854,0.14926011191002386,-0.19659298857081153
site1435956,6356,52,7,5.985100937565571,5.985100937565571,5.985100937565571,0.6677380643333702,52,52,33.34439615863292,0.6633918675346904,0.871676300179818,0.6956718201723525,2.497100772434528,7.319933038660406,-1.3512106341110834,-0.26994382831101726,0.05313230679856392,-0.014598274960389155,-0.01669841219284501,-0.33181913730527335,-0.037933493740589304
site1436152,6357,54,7,6.433401802273565,6.433401802273565,6.433401802273565,0.6677380643333702,54,54,33.61989753968262,0.6633918675346904,0.8806089237815994,0.7127402959641598,2.5311326603345,7.209978578523463,-1.5169870488847874,-0.39741150091570226,0.10959932609568752,-0.01700285950911911,0.07086539816245631,-0.3903153208097876,-0.04248083309893607
site1436353,6358,3,7,0.7826039280936666,0.7826039280936666,0.7826039280936666,0.6677380643333702,3,3,2.6435848491876333,0.6633918675346904,0.5074311810724681,0.7777955935976751,2.316469379449822,5.838562189559176,-0.5284551043323787,1.3235750054343747,-0.23656429540028692,0.4153433081330934,-0.1505275802232986,0.8779342821883916,0.44276418757393887
site1436549,6359,22,7,3.165819613656356,3.165819613656356,3.165819613656356,0.6677380643333702,22,22,24.50663791657795,0.6633918675346904,0.9128639048278983,0.7122860344092875,2.4957777568773136,6.9652542198116185,-1.636141770695765,0.011910266961271525,0.2611591875203422,-0.14679234453330503,-0.04864194368493497,-0.1881116506484518,-0.05951996781413844
site1436740,6360,43,7,5.246123265279324,5.246123265279324,5.246123265279324,0.6677380643333702,43,43,26.843947005849607,0.6633918675346904,0.88604149246783,0.7200594400873547,2.4143685379888127,6.467705909734313,-1.4845521526455752,-0.3107087395635941,0.1064329589449898,-0.10256567176162523,0.057641840524871986,-0.32965576767200394,-0.08731680515804952
site1436941,6361,7,7,1.4943617280519585,1.4943617280519585,1.4943617280519585,0.6677380643333702,7,7,12.15800643137576,0.6633918675346904,0.8650579548535036,0.7551041815669683,2.8926690542890507,8.905988019525264,-0.9372433712040024,0.31955558469219575,0.30863395881510886,-0.010935863845402273,-0.2500627125701323,-0.10740838422645603,-0.400207684855914
