X1,comm,n_sp,n_tr,FDpg,FDw,FDwcomm,qual.FD,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.Height,CWM.Seed_mass,CWM.LDMC,CWM.SLA,CWM.Leaf_nitrogen,CWM.Leaf_area,CWM.Leaf_phosphorus
site1513970,7595,31,7,3.4331875713050293,3.4331875713050293,3.4331875713050293,0.6520936290889294,31,31,14.627499944716678,0.597248951486192,0.8581378391362171,0.6495007578611177,2.0370036427013964,5.017382626843403,-0.16340550228659342,0.057562827380887145,0.6322662875161357,-0.3811059805798267,-0.28481289056593356,-0.34020143340496356,-0.49705468373647604
site1514164,7596,14,7,1.866669357715916,1.866669357715916,1.866669357715916,0.6520936290889294,14,14,8.288523135219602,0.597248951486192,0.9242867204021382,0.7735877492332721,2.080178483877972,4.713710164321632,-0.3835000014943353,-0.07916931459546998,0.44111920709124935,-0.14842269270047795,-0.5761612687217595,-0.05165837116632858,-0.10871998129959994
site1514358,7597,6,7,0.8412632593369039,0.8412632593369039,0.8412632593369039,0.6520936290889294,6,6,0.8396792328636159,0.597248951486192,0.8371712858601595,0.6299861212589632,1.4669920417518634,2.489172233737208,-0.5360354046684542,-0.24715053317788324,1.2588007082196282,-0.6426201265232633,-0.5884069871656492,-0.26570028397800866,-0.6370722222285904
site1514560,7598,5,7,0.8609562358988052,0.8609562358988052,0.8609562358988052,0.6520936290889294,5,5,1.0220056939642594,0.597248951486192,0.8905186918403319,0.7583113308331031,1.9608622053659268,3.998606729446305,-1.1330640014931745,0.053578178580252454,0.7385950362105659,-0.6719919251618456,-0.35472106617988547,-1.170898427019516,-0.4769827097359417
site1514768,7599,26,7,2.984492192043926,2.984492192043926,2.984492192043926,0.6520936290889294,26,26,16.39141848890228,0.597248951486192,0.8724403396943547,0.6639659218287065,2.066649607115451,5.103669910213902,-0.17808350998318803,0.09422370190406403,0.9704693037621865,-0.5894961398928183,-0.4703359930880439,-0.25335676357954795,-0.5762746637741732
site1514961,7600,25,7,2.6724327947095192,2.6724327947095192,2.6724327947095192,0.6520936290889294,25,25,14.09897425022719,0.597248951486192,0.8632213667568838,0.6558837303588723,2.057386495094373,5.11840239216622,-0.29589526584638337,0.02499302673936745,0.8973728284602889,-0.5076690356818423,-0.333675175554871,-0.1843575189423258,-0.5075870314774292
site1515157,7601,7,7,1.1037385377595046,1.1037385377595046,1.1037385377595046,0.6520936290889294,7,7,2.8597431401188182,0.597248951486192,0.8670450130479325,0.7320782392062323,1.9176010133457464,3.9789822993472024,-0.6965912081999933,-0.09836412751104091,0.5974831431442512,-0.6530668275544398,-0.4137327870742488,-0.5685689474414533,-0.5743155272395859
site1515372,7602,32,7,3.523323800672946,3.523323800672946,3.523323800672946,0.6520936290889294,32,32,14.627499944716678,0.597248951486192,0.8623745249291498,0.6486764381191886,2.0208632076657582,4.927343660818032,-0.17158975471911683,0.04757278142704088,0.6043027217583725,-0.3941166783554086,-0.2686382450770311,-0.36692590177417883,-0.4893395054425649
site1515572,7603,25,7,2.7295145324587655,2.7295145324587655,2.7295145324587655,0.6520936290889294,25,25,12.355761661526234,0.597248951486192,0.8421564516582576,0.70467151927432925,2.0378752243857665,5.040867833779747,-0.4377805549127115,-0.009028054288634088,0.9007499897719601,-0.5298093081787807,-0.5129481837517633,-0.3169651426004181,-0.5316640888974892
site1515772,7604,8,7,1.160241426583577,1.160241426583577,1.160241426583577,0.6520936290889294,8,8,2.657615974832815,0.597248951486192,0.8656705476994201,0.679579688787624,1.839100108463548,3.720451011593837,-0.6515587708416556,-0.09967326164460741,0.8582291616918872,-0.7554454952500234,-0.5482360297570058,-0.5326389147487065,-0.4956465873532194
site1515977,7605,8,7,1.213788149664089,1.213788149664089,1.213788149664089,0.6520936290889294,8,8,5.9847146364123525,0.597248951486192,0.8779687238144966,0.7489735404243096,1.932129812665776,4.2006404307305,0.5736880824430408,0.6674892054449292,-0.04480623127262124,-0.418159187904069,-0.04762105060643282,0.3574787850477276,-0.29206661749337726
site1516184,7606,37,7,4.112426914276011,4.112426914276011,4.112426914276011,0.6520936290889294,37,37,16.338103495895268,0.597248951486192,0.8562044109739857,0.6646586139583028,2.0009443187724196,4.778328611580657,-0.1577218929715085,-0.0012123521673132655,0.737744025722619,-0.5482232127312051,-0.4335298091800884,-0.3839285054656985,-0.6206839225587433
site1516378,7607,26,7,2.7699654033649805,2.7699654033649805,2.7699654033649805,0.6520936290889294,26,26,14.67858361015071,0.597248951486192,0.8631748487485306,0.6697607131963287,2.07131150510498,5.150578008075813,-0.35664043686057806,0.03881337117644401,0.8856030707611743,-0.5039156511873721,-0.39129985994242983,-0.22611179417172322,-0.4995949547110016
site1516577,7608,10,7,1.2864306215172703,1.2864306215172703,1.2864306215172703,0.6520936290889294,10,10,2.9479919760893107,0.597248951486192,0.8973214258923634,0.6768651052245824,1.5606850967734143,2.8013845584729866,-0.7088371653525423,-0.21594508089348116,1.068213843098977,-0.8045960517960636,-0.4855014512059306,-0.7927898023942381,-0.7087319249577624
site1516780,7609,32,7,3.5105210367503004,3.5105210367503004,3.5105210367503004,0.6520936290889294,32,32,14.627499944716678,0.597248951486192,0.8520860072989146,0.6551561345653009,2.018126606466243,4.92656168915409,-0.18596784334832356,0.03809204054832753,0.6400349221718077,-0.40427683864409486,-0.29220614993957017,-0.3551743098752852,-0.51613030395423
site1516973,7610,16,7,2.1315349118941738,2.1315349118941738,2.1315349118941738,0.6520936290889294,16,16,12.231769702923987,0.597248951486192,0.8556097698102646,0.6992459993763847,2.102754311542126,5.306885342191301,-0.2850769968017217,-0.07062906069190275,0.8556731129450943,-0.4730333872248928,-0.518951779743719,-0.10649854312135842,-0.524770008862694
site1517169,7611,23,7,2.6526292682535466,2.6526292682535466,2.6526292682535466,0.6520936290889294,23,23,13.179138847669012,0.597248951486192,0.8732918035205273,0.6577046054812232,1.9743750914976623,4.685021440493804,-0.2880203540324085,-0.011741007875639003,0.8482459173289025,-0.5100098637601801,-0.38072558029859765,-0.18651187763966068,-0.5333533082490568
